Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,AAPL,0.5,2023-03-29 04:00:00+00:00,160.93077,0.080465385,2023-04-26 04:00:00+00:00,163.59624,0.08179812,1.1704714949999995,0.014546273469020245,Long,Closed,0
1,AAPL,0.5,2023-04-27 04:00:00+00:00,168.57841,0.08428920499999999,2023-08-04 04:00:00+00:00,181.80801,0.090904005,6.439606790000003,0.07639895037567389,Long,Closed,1
2,AAPL,0.5,2023-08-29 04:00:00+00:00,184.30411999999998,0.09215206,2023-09-06 04:00:00+00:00,182.72709,0.091363545,-0.9720306049999896,-0.010548115853297145,Long,Closed,2
3,AAPL,0.5,2023-11-03 04:00:00+00:00,176.82664999999997,0.08841332499999999,2023-12-26 05:00:00+00:00,192.85695,0.09642847500000001,7.83030820000002,0.08856479721806663,Long,Closed,3
4,AAPL,0.5,2024-01-22 05:00:00+00:00,194.08388999999997,0.09704194499999999,2024-02-01 05:00:00+00:00,186.67314000000002,0.09333657000000001,-3.895753514999975,-0.0401450477419839,Long,Closed,4
5,AAPL,0.5,2024-02-08 05:00:00+00:00,188.50831999999997,0.09425415999999999,2024-02-09 05:00:00+00:00,188.66115,0.094330575,-0.11216973499998854,-0.0011900772867742767,Long,Closed,5
6,AAPL,0.5,2024-03-20 04:00:00+00:00,178.84866999999997,0.089424335,2024-03-22 04:00:00+00:00,172.10772,0.08605386,-3.5459531949999845,-0.0396531122652462,Long,Closed,6
7,AAPL,0.5,2024-04-12 04:00:00+00:00,176.72655,0.088363275,2024-04-15 04:00:00+00:00,172.51731,0.086258655,-2.279241929999997,-0.02579399563902534,Long,Closed,7
8,AAPL,0.5,2024-05-06 04:00:00+00:00,181.89171,0.09094585499999999,2024-07-24 04:00:00+00:00,218.32146,0.10916073,18.014768415000006,0.19808234707343184,Long,Closed,8
9,AAPL,0.5,2024-08-15 04:00:00+00:00,224.94471999999996,0.11247235999999998,2024-09-05 04:00:00+00:00,222.15762,0.11107881,-1.6171011699999762,-0.014377765079349064,Long,Closed,9
10,AAPL,0.5,2024-09-20 04:00:00+00:00,228.42819999999998,0.11421409999999999,2024-10-07 04:00:00+00:00,221.46831,0.110734155,-3.7048932549999862,-0.032438142532314196,Long,Closed,10
11,AAPL,0.5,2024-10-09 04:00:00+00:00,229.76953999999998,0.11488477,2024-10-31 04:00:00+00:00,225.68409,0.112842045,-2.27045181499999,-0.01976286164824102,Long,Closed,11
12,AAPL,0.5,2024-11-20 05:00:00+00:00,229.22899999999998,0.1146145,2024-12-18 05:00:00+00:00,247.80195,0.12390097500000001,9.04795952500001,0.07894253802965603,Long,Closed,12
13,AAPL,0.5,2024-12-23 05:00:00+00:00,255.52526999999998,0.12776263499999999,2024-12-30 05:00:00+00:00,251.9478,0.1259739,-2.0424715349999887,-0.015986454372986195,Long,Closed,13
14,AAPL,0.5,2025-01-30 05:00:00+00:00,237.82759,0.11891379499999999,2025-02-04 05:00:00+00:00,232.5672,0.11628360000000001,-2.8653923949999864,-0.024096383392692048,Long,Closed,14
15,AAPL,0.5,2025-02-06 05:00:00+00:00,233.45321999999996,0.11672660999999998,2025-02-07 05:00:00+00:00,227.40237,0.113701185,-3.2558527949999845,-0.027892978259198866,Long,Closed,15
16,AAPL,0.5,2025-02-12 05:00:00+00:00,237.10687,0.118553435,2025-02-26 05:00:00+00:00,240.11964,0.12005982,1.2677717450000088,0.010693673658633416,Long,Closed,16
17,AAPL,0.5,2025-05-01 04:00:00+00:00,213.53331999999997,0.10676665999999999,2025-05-06 04:00:00+00:00,198.31149,0.099155745,-7.816837404999991,-0.07321421691940154,Long,Closed,17
18,AAPL,0.5,2025-05-14 04:00:00+00:00,212.54233,0.106271165,2025-05-21 04:00:00+00:00,201.88791,0.100943955,-5.534425119999994,-0.05207833300782949,Long,Closed,18
19,AAPL,0.5,2025-06-24 04:00:00+00:00,200.50029999999998,0.10025015,2025-07-25 04:00:00+00:00,213.88,0.0,6.589599850000007,0.0657315709752056,Long,Open,19
20,MSFT,0.5,2023-03-29 04:00:00+00:00,280.79051,0.140395255,2023-04-24 04:00:00+00:00,281.48823,0.140744115,0.06772063000000195,0.00048235697139480924,Long,Closed,20
21,MSFT,0.5,2023-04-27 04:00:00+00:00,305.13482999999997,0.15256741499999998,2023-06-27 04:00:00+00:00,334.23543,0.167117715,14.230614870000021,0.09327427399880914,Long,Closed,21
22,MSFT,0.5,2023-06-29 04:00:00+00:00,335.38505,0.16769252499999998,2023-07-11 04:00:00+00:00,332.13753,0.166068765,-1.9575212899999759,-0.0116732769692625,Long,Closed,22
23,MSFT,0.5,2023-07-13 04:00:00+00:00,343.00266,0.17150133,2023-07-27 04:00:00+00:00,330.38928000000004,0.16519464000000003,-6.643385969999975,-0.0387366440248596,Long,Closed,23
24,MSFT,0.5,2023-08-29 04:00:00+00:00,328.73841,0.164369205,2023-09-15 04:00:00+00:00,329.88978000000003,0.16494489,0.24637090500002135,0.0014988872459413632,Long,Closed,24
25,MSFT,0.5,2023-11-03 04:00:00+00:00,353.15279999999996,0.1765764,2023-12-05 05:00:00+00:00,372.14748,0.18607374,9.134689860000009,0.051732223898550485,Long,Closed,25
26,MSFT,0.5,2023-12-26 05:00:00+00:00,375.03466,0.18751732999999998,2024-01-04 05:00:00+00:00,367.57206,0.18378603000000002,-4.102603359999976,-0.021878529093817496,Long,Closed,26
27,MSFT,0.5,2024-01-09 05:00:00+00:00,376.16578999999996,0.18808289499999997,2024-02-16 05:00:00+00:00,403.65594,0.20182797,13.355164135000013,0.07100679801318464,Long,Closed,27
28,MSFT,0.5,2024-02-26 05:00:00+00:00,407.94754,0.20397377,2024-02-28 05:00:00+00:00,407.31228000000004,0.20365614,-0.7252599099999798,-0.0035556528175165847,Long,Closed,28
29,MSFT,0.5,2024-02-29 05:00:00+00:00,414.0536399999999,0.20702681999999997,2024-03-06 05:00:00+00:00,401.68791,0.200843955,-6.590735774999964,-0.03183517852904259,Long,Closed,29
30,MSFT,0.5,2024-03-12 04:00:00+00:00,415.6952799999999,0.20784763999999997,2024-04-15 04:00:00+00:00,413.22636,0.20661318,-1.6489208199999559,-0.00793331509561502,Long,Closed,30
31,MSFT,0.5,2024-05-07 04:00:00+00:00,409.7493399999999,0.20487466999999995,2024-06-03 04:00:00+00:00,413.10648,0.20655324,1.267142090000036,0.006184962201525627,Long,Closed,31
32,MSFT,0.5,2024-06-07 04:00:00+00:00,424.27385,0.212136925,2024-07-15 04:00:00+00:00,453.50604,0.22675302,14.177205055000002,0.0668304447940876,Long,Closed,32
33,MSFT,0.5,2024-08-16 04:00:00+00:00,418.88847,0.209444235,2024-09-04 04:00:00+00:00,408.49109999999996,0.20424555,-5.6123747850000125,-0.026796511181126626,Long,Closed,33
34,MSFT,0.5,2024-09-12 04:00:00+00:00,427.42699999999996,0.21371349999999997,2024-10-02 04:00:00+00:00,416.71287,0.208356435,-5.779134934999977,-0.027041506198719208,Long,Closed,34
35,MSFT,0.5,2024-10-22 04:00:00+00:00,427.9375099999999,0.21396875499999995,2024-11-01 04:00:00+00:00,409.95963,0.204979815,-9.407888569999956,-0.0439685157302521,Long,Closed,35
36,MSFT,0.5,2024-11-08 05:00:00+00:00,422.96254,0.21148127,2024-11-18 05:00:00+00:00,415.34424,0.20767212000000002,-4.228303389999988,-0.019993748808109522,Long,Closed,36
37,MSFT,0.5,2024-11-26 05:00:00+00:00,428.41799,0.21420899499999999,2024-12-18 05:00:00+00:00,436.95261,0.218476305,3.8346247000000093,0.017901324358484617,Long,Closed,37
38,MSFT,0.5,2025-01-21 05:00:00+00:00,428.92849999999993,0.21446424999999997,2025-01-31 05:00:00+00:00,414.64494,0.20732247,-7.563566719999955,-0.03526726118688758,Long,Closed,38
39,MSFT,0.5,2025-05-01 04:00:00+00:00,425.82539999999995,0.21291269999999998,2025-07-25 04:00:00+00:00,513.71,0.0,43.72938730000005,0.20538646731735616,Long,Open,39
40,NVDA,0.5,2023-03-29 04:00:00+00:00,270.10983999999996,0.13505492,2023-04-13 04:00:00+00:00,264.36537,0.132182685,-3.1394726049999893,-0.023245895854812175,Long,Closed,40
41,NVDA,0.5,2023-04-18 04:00:00+00:00,276.94667,0.138473335,2023-04-24 04:00:00+00:00,270.14958,0.13507479,-3.6720931249999844,-0.026518413274295622,Long,Closed,41
42,NVDA,0.5,2023-04-28 04:00:00+00:00,277.76748999999995,0.13888374499999998,2023-08-03 04:00:00+00:00,444.70484999999996,0.222352425,83.10744383000001,0.5983957577612846,Long,Closed,42
43,NVDA,0.5,2023-08-29 04:00:00+00:00,488.3278399999999,0.24416391999999998,2023-09-06 04:00:00+00:00,470.13939,0.235069695,-9.573458614999966,-0.039209145294685506,Long,Closed,43
44,NVDA,0.5,2023-11-03 04:00:00+00:00,450.50005,0.225250025,2023-11-30 05:00:00+00:00,467.2323,0.23361615000000002,7.907258825000012,0.03510436380639697,Long,Closed,44
45,NVDA,0.5,2023-12-14 05:00:00+00:00,483.98349999999994,0.24199174999999998,2024-01-04 05:00:00+00:00,479.50002,0.23975001,-2.7234817599999643,-0.011254440533613087,Long,Closed,45
46,NVDA,0.5,2024-01-09 05:00:00+00:00,531.9313999999999,0.26596569999999997,2024-04-02 04:00:00+00:00,893.6254799999999,0.44681274,180.13426155999997,0.6772838059945323,Long,Closed,46
47,NVDA,0.5,2024-05-06 04:00:00+00:00,922.3213999999999,0.4611607,2024-06-10 04:00:00+00:00,121.66821,0.060834105,-400.84858980499996,-0.8692167173070038,Long,Closed,47
48,NVDA,0.5,2024-07-09 04:00:00+00:00,131.51137999999997,0.06575568999999999,2024-07-17 04:00:00+00:00,117.87200999999999,0.05893600499999999,-6.944376694999992,-0.10560875712809026,Long,Closed,48
49,NVDA,0.5,2024-08-15 04:00:00+00:00,122.98285999999999,0.06149142999999999,2024-09-03 04:00:00+00:00,107.892,0.053946,-7.660867429999996,-0.1245843108543743,Long,Closed,49
50,NVDA,0.5,2024-09-23 04:00:00+00:00,116.37625999999999,0.05818813,2024-11-01 04:00:00+00:00,135.2646,0.0676323,9.318349570000008,0.16014176035559158,Long,Closed,50
51,NVDA,0.5,2024-11-07 05:00:00+00:00,149.02888,0.07451444,2024-11-25 05:00:00+00:00,135.88398,0.06794199000000001,-6.7149064299999885,-0.09011550553154515,Long,Closed,51
52,NVDA,0.5,2024-12-05 05:00:00+00:00,145.20505999999997,0.07260252999999998,2024-12-09 05:00:00+00:00,138.67119,0.069335595,-3.4088731249999897,-0.046952539050636254,Long,Closed,52
53,NVDA,0.5,2024-12-24 05:00:00+00:00,140.36021999999997,0.07018010999999999,2024-12-31 05:00:00+00:00,134.15571,0.067077855,-3.239512964999985,-0.04615998699631542,Long,Closed,53
54,NVDA,0.5,2025-01-06 05:00:00+00:00,149.57943,0.074789715,2025-01-07 05:00:00+00:00,139.99985999999998,0.06999992999999999,-4.9345746450000085,-0.06597932142140144,Long,Closed,54
55,NVDA,0.5,2025-01-22 05:00:00+00:00,147.21706999999998,0.07360853499999999,2025-01-27 05:00:00+00:00,118.30158,0.05915079,-14.590504324999989,-0.19821756165911997,Long,Closed,55
56,NVDA,0.5,2025-02-11 05:00:00+00:00,132.9328,0.0664664,2025-02-24 05:00:00+00:00,130.14972,0.06507486,-1.5230812599999919,-0.022915055727405004,Long,Closed,56
57,NVDA,0.5,2025-05-01 04:00:00+00:00,111.72160999999998,0.05586080499999999,2025-07-25 04:00:00+00:00,173.5,0.0,30.83333419500001,0.5519672370457249,Long,Open,57
58,AMZN,0.5,2023-03-29 04:00:00+00:00,100.35024999999999,0.050175124999999994,2023-04-13 04:00:00+00:00,102.2976,0.0511488,0.8723510750000072,0.01738612659161302,Long,Closed,58
59,AMZN,0.5,2023-04-14 04:00:00+00:00,102.61251,0.051306255,2023-05-03 04:00:00+00:00,103.54635,0.051773175000000005,0.36384057000000175,0.007091544101201729,Long,Closed,59
